0.000000 0.968903 0.121086 -0.000156
0.000050 0.968902 0.121088 -0.000219
0.000100 0.968901 0.121091 -0.000283
0.000150 0.968900 0.121094 -0.000347
0.000200 0.968899 0.121097 -0.000410
0.000250 0.968898 0.121102 -0.000474
0.000300 0.968897 0.121106 -0.000538
0.000350 0.968895 0.121111 -0.000601
0.000400 0.968894 0.121117 -0.000665
0.000450 0.968892 0.121123 -0.000729
0.000500 0.968890 0.121129 -0.000792
0.000550 0.968888 0.121136 -0.000856
0.000600 0.968886 0.121143 -0.000919
0.000650 0.968884 0.121151 -0.000983
0.000700 0.968881 0.121159 -0.001046
0.000750 0.968879 0.121168 -0.001110
0.000800 0.968876 0.121178 -0.001173
0.000850 0.968873 0.121187 -0.001237
0.000900 0.968870 0.121197 -0.001301
0.000950 0.968867 0.121208 -0.001364
0.001000 0.968864 0.121219 -0.001427
0.001050 0.968861 0.121231 -0.001491
0.001100 0.968857 0.121243 -0.001554
0.001150 0.968854 0.121256 -0.001618
0.001200 0.968850 0.121269 -0.001681
0.001250 0.968846 0.121282 -0.001745
0.001300 0.968842 0.121296 -0.001808
0.001350 0.968838 0.121310 -0.001872
0.001400 0.968834 0.121325 -0.001935
0.001450 0.968829 0.121341 -0.001998
0.001500 0.968825 0.121356 -0.002062
0.001550 0.968820 0.121373 -0.002125
0.001600 0.968816 0.121390 -0.002188
0.001650 0.968811 0.121407 -0.002252
0.001700 0.968806 0.121424 -0.002315
0.001750 0.968801 0.121443 -0.002378
0.001800 0.968795 0.121461 -0.002442
0.001850 0.968790 0.121480 -0.002505
0.001900 0.968784 0.121500 -0.002568
0.001950 0.968779 0.121520 -0.002632
0.002000 0.968773 0.121540 -0.002695
0.002050 0.968767 0.121561 -0.002758
0.002100 0.968761 0.121583 -0.002821
0.002150 0.968755 0.121605 -0.002885
0.002200 0.968748 0.121627 -0.002948
0.002250 0.968742 0.121650 -0.003011
0.002300 0.968735 0.121673 -0.003074
0.002350 0.968729 0.121697 -0.003137
0.002400 0.968722 0.121721 -0.003201
0.002450 0.968715 0.121746 -0.003264
0.002500 0.968708 0.121771 -0.003327
0.002550 0.968700 0.121797 -0.003390
0.002600 0.968693 0.121823 -0.003453
0.002650 0.968686 0.121849 -0.003516
0.002700 0.968678 0.121877 -0.003579
0.002750 0.968670 0.121904 -0.003643
0.002800 0.968662 0.121932 -0.003706
0.002850 0.968654 0.121960 -0.003769
0.002900 0.968646 0.121989 -0.003832
0.002950 0.968638 0.122019 -0.003895
0.003000 0.968629 0.122048 -0.003958
0.003050 0.968621 0.122079 -0.004021
0.003100 0.968612 0.122110 -0.004084
0.003150 0.968603 0.122141 -0.004147
0.003200 0.968595 0.122172 -0.004210
0.003250 0.968585 0.122205 -0.004273
0.003300 0.968576 0.122237 -0.004336
0.003350 0.968567 0.122270 -0.004399
0.003400 0.968557 0.122304 -0.004462
0.003450 0.968548 0.122338 -0.004525
0.003500 0.968538 0.122372 -0.004588
0.003550 0.968528 0.122407 -0.004651
0.003600 0.968518 0.122443 -0.004713
0.003650 0.968508 0.122478 -0.004776
0.003700 0.968498 0.122515 -0.004839
0.003750 0.968488 0.122552 -0.004902
0.003800 0.968477 0.122589 -0.004965
0.003850 0.968466 0.122627 -0.005028
0.003900 0.968456 0.122665 -0.005091
0.003950 0.968445 0.122703 -0.005153
0.004000 0.968434 0.122742 -0.005216
0.004050 0.968422 0.122782 -0.005279
0.004100 0.968411 0.122822 -0.005342
0.004150 0.968400 0.122863 -0.005405
0.004200 0.968388 0.122904 -0.005467
0.004250 0.968376 0.122945 -0.005530
0.004300 0.968365 0.122987 -0.005593
0.004350 0.968353 0.123029 -0.005655
0.004400 0.968341 0.123072 -0.005718
0.004450 0.968328 0.123115 -0.005781
0.004500 0.968316 0.123159 -0.005844
0.004550 0.968303 0.123203 -0.005906
0.004600 0.968291 0.123248 -0.005969
0.004650 0.968278 0.123293 -0.006032
0.004700 0.968265 0.123338 -0.006094
0.004750 0.968252 0.123384 -0.006157
0.004800 0.968239 0.123431 -0.006219
0.004850 0.968226 0.123478 -0.006282
0.004900 0.968212 0.123525 -0.006345
0.004950 0.968199 0.123573 -0.006407
0.005000 0.968185 0.123622 -0.006470
0.005050 0.968171 0.123670 -0.006532
0.005100 0.968157 0.123720 -0.006595
0.005150 0.968143 0.123769 -0.006657
0.005200 0.968129 0.123819 -0.006720
0.005250 0.968115 0.123870 -0.006782
0.005300 0.968100 0.123921 -0.006845
0.005350 0.968085 0.123973 -0.006907
0.005400 0.968071 0.124025 -0.006970
0.005450 0.968056 0.124077 -0.007032
0.005500 0.968041 0.124130 -0.007095
0.005550 0.968026 0.124183 -0.007157
0.005600 0.968010 0.124237 -0.007219
0.005650 0.967995 0.124292 -0.007282
0.005700 0.967979 0.124346 -0.007344
0.005750 0.967964 0.124402 -0.007407
0.005800 0.967948 0.124457 -0.007469
0.005850 0.967932 0.124513 -0.007531
0.005900 0.967916 0.124570 -0.007594
0.005950 0.967900 0.124627 -0.007656
0.006000 0.967883 0.124685 -0.007718
0.006050 0.967867 0.124742 -0.007781
0.006100 0.967850 0.124801 -0.007843
0.006150 0.967833 0.124860 -0.007905
0.006200 0.967816 0.124919 -0.007967
0.006250 0.967799 0.124979 -0.008030
0.006300 0.967782 0.125039 -0.008092
0.006350 0.967765 0.125100 -0.008154
0.006400 0.967747 0.125161 -0.008216
0.006450 0.967730 0.125223 -0.008278
0.006500 0.967712 0.125285 -0.008341
0.006550 0.967694 0.125347 -0.008403
0.006600 0.967676 0.125410 -0.008465
